e,r,se_DNC,sp_DNC,pres_DNC,se_RD,sp_RD,pres_RD,se_GCO,sp_GCO,pres_GCO,se_GCO_A,sp_GCO_A,pres_GCO_A,se_SZCO,sp_SZCO,pres_SZCO,se_SZCO_A,sp_SZCO_A,pres_SZCO_A,se_LZCO,sp_LZCO,pres_LZCO,se_LZCO_A,sp_LZCO_A,pres_LZCO_A,se_NLR,sp_NLR,pres_NLR,se_NLR_A,sp_NLR_A,pres_NLR_A,se_NLME,sp_NLME,pres_NLME,se_NLME_A,sp_NLME_A,pres_NLME_A
0,0,100,100,100,100,100,92.70185118422496,100,100,92.70185118422496,100,100,92.70185118422496,100,99.88204774519178,92.57802091007414,100,99.87616972584917,92.70185118422496,100,99.07362415160588,91.73236986065176,100,99.0305186764268,92.70185118422496,100,99.99882439613148,92.70028371240026,100,99.9984325281753,92.70185118422496,100,99.60578083608948,92.28725488659342,100,99.75704186717243,92.59683057197047
0.001,0,0,100,100,0,99.99686201905538,92.70185118422496,63.1578947368421,99.99686201905538,92.6407197830619,65.58704453441295,100,92.70185118422496,15.789473684210526,99.99686201905538,92.68656833393419,65.18218623481782,100,92.6614887847391,46.558704453441294,99.76504367677227,92.41382823643744,74.89878542510121,99.75680647679268,92.68147405050394,38.05668016194332,99.99568527620116,92.66344812451996,70.04048582995951,99.9984310095277,92.67677163502987,88.25910931174089,99.69247786742815,92.29430850980454,92.3076923076923,99.81485912426797,92.59604683605812
0.002,0,0,100,100,0,99.9929326679571,92.70185118422496,61.61616161616161,99.9929326679571,92.58233145759205,63.43434343434343,99.99882211132618,92.70185118422496,15.353535353535353,99.9929326679571,92.67206921955578,64.44444444444444,99.99842948176824,92.62230198912175,29.09090909090909,99.94935078702595,92.60035738357602,67.27272727272727,99.95484760083708,92.64267912284276,38.58585858585858,99.9917547792833,92.62543693277114,68.88888888888889,99.99842948176824,92.65639450130884,83.43434343434343,99.70984675668355,92.24297380754581,90.30303030303031,99.83470295610795,92.58625013715378
0.005,0,0,100,100,0.08064516129032258,99.98109849260479,92.70185118422496,60.88709677419355,99.98109849260479,92.40638274527015,63.54838709677419,99.99566840455526,92.70185118422496,12.661290322580646,99.98109849260479,92.6407197830619,63.70967741935484,99.99566840455526,92.494944903365365,21.612903225806452,99.96298454801772,92.57919651394266,64.83870967741936,99.97952336698852,92.52942928350862,37.096774193548384,99.97991714839259,92.52041632051665,68.46774193548387,99.99803109297967,92.5831151935044,82.8225806451613,99.74916124560934,92.05566092449489,91.61290322580645,99.84406256398948,92.53883411445679
0.01,0,0,100,100,0.12106537530266344,99.95528471370345,92.70185118422496,61.420500403551245,99.95528471370345,92.10660375879743,63.922518159806295,99.99366863202881,92.70185118422496,12.106537530266344,99.95528471370345,92.58546640124143,63.84180790960452,99.9932729215306,92.28764675454958,16.343825665859566,99.95172331921965,92.54079345423766,64.20500403551252,99.99208579003601,92.31938805899964,37.24778046811945,99.95409758220886,92.33976519272066,69.04761904761905,99.9976257370108,92.46673041052087,81.39628732849071,99.73922678168651,91.68769691364798,89.7497982243745,99.8444857742076,92.503174130445
0.02,0,0,100,100,0.16061031921300944,99.8992833933503,92.70185118422496,60.85123469182895,99.8992833933503,91.5172343527125,63.56153382854849,99.9820148916697,92.70185118422496,9.536237703272436,99.8992833933503,92.51884884869195,62.557719333467176,99.97322217204156,91.83268805743216,13.912868901826942,99.89768471705428,92.43185416242143,63.380847219433846,99.97841787000364,91.89381945859523,37.36197550692632,99.89808438612829,91.9741523896108,68.92190323228267,99.99680264740795,92.2327852406853,77.45432644047379,99.78178068559232,91.07011301471856,87.1913270427625,99.89408769538822,92.47966205307459
0.05,0,0,100,100,0.49047197877301596,99.74788981301828,92.70185118422496,61.871834043579646,99.74788981301828,89.71033120679655,64.5814907131945,99.96127719350281,92.70185118422496,7.606335933102838,99.74788981301828,92.35504804301142,63.24676368899252,99.92502605550544,90.28206655485369,9.873763769397764,99.74788981301828,92.24454127937051,63.60858727989065,99.93038133725504,90.27109425208081,38.02363914127201,99.74665397876836,90.87104409298243,69.69526413122136,99.99258499450053,91.49450601125444,NA,NA,NA,NA,NA,NA
0.1,0,0,100,100,1.0073333870577805,99.47302166080652,92.70185118422496,61.99935530663229,99.47302166080652,86.77014593162687,64.46530743814974,99.91361722446499,92.70185118422496,7.708115077766138,99.47302166080652,92.05017477310845,63.3088887098074,99.81334375135651,87.47707572456385,10.234507212507053,99.47302166080652,91.80447356458768,63.32500604400032,99.80249164387725,87.63068796338386,38.093319364977035,99.47171940790902,89.09353104377948,69.36497703279878,99.98393888093068,90.29421446149506,51.45458941091143,99.46824673351566,87.79057008950264,79.4020469014425,99.98784563962322,90.42235528316378
0.2,0,0,100,100,2.0961402801572104,98.85150287245892,92.70185118422496,62.1626524236622,98.85150287245892,81.02340235434268,64.45228257583392,99.81028637029182,92.70185118422496,8.102388390607679,98.85150287245892,91.53408467482797,63.498941852262426,99.4396151245543,81.78558552910012,11.139776277335484,98.85150287245892,90.94353966487454,63.39816587725486,99.51550057643756,82.40042635233632,38.260606671369544,98.85052998205018,85.66938884273554,68.78564950115891,99.960111493240845,87.87599730394847,45.66159427592462,98.85052998205018,84.2304497076665,75.29577748664718,99.97665063018977,87.87521356803612
0.5,0,0,100,100,4.491820971496226,96.29471338406002,92.70185118422496,62.73326943677059,96.29471338406002,64.36509553740771,64.199131758471,99.29252302925306,92.70185118422496,8.957868539533985,96.29471338406002,90.52894336724297,63.9027376186986,97.84780468445916,65.03283853472733,12.110277950047923,96.29471338406002,88.99517218677995,63.818974057458576,97.9416770333285,65.46820383403609,38.91542296571332,96.29395019423181,75.95302286941393,67.40630965133417,99.7054087263125,80.48027336708623,NA,NA,NA,NA,NA,NA
0,0.1,100,100,100,100,100,92.70185118422496,100,100,92.70185118422496,100,100,92.70185118422496,100,99.88204774519178,92.57802091007414,100,99.87616972584917,92.70185118422496,100,99.07362415160588,91.73236986065176,100,99.0305186764268,92.70185118422496,100,99.99882439613148,92.70028371240026,100,99.9984325281753,92.70185118422496,100,99.60578083608948,92.28725488659342,100,99.75704186717243,92.59683057197047
0.001,0.1,0,100,100,0,99.99607750843336,92.70185118422496,61.29032258064516,99.99607750843336,92.6422872548866,63.70967741935484,99.99921550168666,92.70185118422496,14.112903225806454,99.99607750843336,92.68813580575889,64.51612903225806,99.99960775084334,92.66188065269527,44.354838709677416,99.80779791323448,92.4620279950468,72.17741935483872,99.8030909233545,92.68147405050394,42.33870967741936,99.99490076096336,92.65913757700204,70.96774193548387,99.99843100337334,92.68029844663542,89.51612903225806,99.68698517298188,92.28803862250577,92.74193548387096,99.82584137444105,92.59134442058404
0.002,0.1,0,100,100,0,99.99293239046186,92.70185118422496,59.20792079207921,99.99293239046186,92.58468266532908,61.98019801980198,99.99764413015396,92.70185118422496,13.861386138613863,99.99293239046186,92.67442042729282,62.57425742574257,99.99764413015396,92.6215182532094,26.33663366336634,99.964269307335,92.61955891342853,64.95049504950495,99.96898104702709,92.64111165101806,40.5940594059406,99.99175445553885,92.6199507813847,68.9108910891089,99.9980367751283,92.6583538410897,84.75247524752476,99.71768826344906,92.24375754345816,90.6930693069307,99.83705233564864,92.58860134489083
0.005,0.1,0,100,100,0.08058017727639001,99.98070463521917,92.70185118422496,59.22643029814666,99.98070463521917,92.41422010439362,62.04673650282031,99.99566838749818,92.70185118422496,11.925866236905721,99.98070463521917,92.64424659466745,62.28847703464948,99.9964559534076,92.4988635829271,20.950846091861404,99.96416575112129,92.58389892941675,63.416599516518936,99.98188598408329,92.53609103876357,41.01531023368251,99.97952328635503,92.50121479066414,68.89605157131345,99.99803108522644,92.59878991175134,84.20628525382756,99.72198923397401,92.02313588413247,91.45850120870266,99.82870441470071,92.53648290671975
0.01,0.1,0,100,100,0.12,99.95488507566644,92.70185118422496,59.96,99.95488507566644,92.11561672178942,63,99.9920851009941,92.70185118422496,11.08,99.95488507566644,92.59447936423342,62.96000000000001,99.99248084594441,92.28686301863725,15.68,99.9497403913126,92.54432026584321,63.36000000000001,99.99050212119293,92.32369860651755,40.56,99.95369784081555,92.30410520870888,69.48,99.99762553029822,92.48514820446103,81.84,99.75265940606597,91.6916155932097,89.03999999999999,99.85515734819224,92.51297082934934
0.02,0.1,0,100,100,0.16012810248198558,99.89927735499137,92.70185118422496,60.168134507606084,99.89927735499137,91.52703105161685,63.3706965572458,99.98441197160581,92.70185118422496,8.867093674939952,99.89927735499137,92.5313886232895,62.26981585268214,99.97881626910534,91.82249949057166,12.910328262610088,99.89767858284837,92.45066382431776,62.97037630104083,99.98161412035557,91.88127968399769,40.71257005604483,99.89807827588412,91.90635923319277,69.95596477181746,99.99720214874976,92.26570214900387,76.56124899919936,99.7817676024813,91.0842202611408,86.68935148118496,99.89967704802712,92.44282646519429
0.05,0.1,0,100,100,0.49895380653468535,99.74666545835017,92.70185118422496,61.16207951070336,99.74666545835017,89.74795053058922,63.729277321744725,99.95098079600596,92.70185118422496,7.114115564139707,99.74666545835017,92.37973572425035,62.53017865765331,99.90896433543965,90.29421446149506,8.948977949460808,99.74666545835017,92.2903898302428,63.05327539031064,99.91967441362321,90.30009248083766,41.348784806051825,99.74542968009821,90.71116196686364,70.24786737485917,99.99052570006837,91.61245826606267,NA,NA,NA,NA,NA,NA
0.1,0.1,0,100,100,1.0057124466972405,99.47119350497114,92.70185118422496,61.10708826132433,99.47119350497114,86.84734391899306,63.62136937806743,99.9070898276386,92.70185118422496,7.188832568991874,99.47119350497114,92.09955013558631,62.342103145868535,99.78074935961446,87.51978933178675,9.3289886555636,99.47119350497114,91.89107638290201,62.41049159224394,99.7755394434073,87.6432277379814,41.270415962667954,99.46989102591934,88.77807733905983,69.86483224716389,99.9795944948552,90.51914666833864,55.69635529809317,99.46554942908001,87.3685283007038,80.23573899750583,99.98437025137845,90.68921736131793
0.2,0.1,0,100,100,2.0925884977988622,98.84249005797285,92.70185118422496,61.17956861720305,98.84249005797285,81.18328448046145,63.44905220415301,99.81211150646658,92.70185118422496,7.634631234044265,98.84249005797285,91.62147122905466,62.35953926869961,99.376950073257035,81.90353778390833,10.2317727702173,98.84249005797285,91.1151778296785,62.29119343880033,99.46943404675795,82.49604213364265,41.33113554586206,98.84151654246232,85.05141307584995,69.1358272860675,99.95959910631275,88.33448281267144,49.18286529840996,98.84102978470705,83.52038497108015,76.05483747763684,99.97225480794972,88.32546984967945
0.5,0.1,0,100,100,4.483335209093687,96.26970656146307,92.70185118422496,61.892052671350704,96.26970656146307,64.71738483000769,63.175876649999196,99.2958392586816,92.70185118422496,8.648327089731016,96.26970656146307,90.67158330329012,62.934707461774686,97.67879260516537,65.35181905105256,11.519044326896797,96.26970656146307,89.27222283179461,62.78598646236957,97.79806413138218,65.87770584823738,42.14753123140987,96.26894200039757,74.34166183362854,67.84973551779025,99.66053488692141,81.68134865275796,NA,NA,NA,NA,NA,NA
0,0.2,100,100,100,100,100,92.70185118422496,100,100,92.70185118422496,100,100,92.70185118422496,100,99.88204774519178,92.57802091007414,100,99.87616972584917,92.70185118422496,100,99.07362415160588,91.73236986065176,100,99.0305186764268,92.70185118422496,100,99.99882439613148,92.70028371240026,100,99.9984325281753,92.70185118422496,100,99.60578083608948,92.28725488659342,100,99.75704186717243,92.59683057197047
0.001,0.2,0,100,100,0,99.99607749304735,92.70185118422496,60.24096385542169,99.99607749304735,92.64307099079893,62.65060240963856,99.9988232479142,92.70185118422496,13.253012048192772,99.99607749304735,92.68891954167124,63.05220883534136,99.9988232479142,92.66109691678292,48.19277108433735,99.82270268574051,92.47417590168817,76.70682730923694,99.81878017878788,92.68108218254777,43.373493975903614,99.99490074096157,92.65796197313352,70.68273092369478,99.99803874652368,92.68147405050394,86.74698795180723,99.69404445769379,92.29861905732244,90.76305220883533,99.82701744338843,92.59408749627725
0.002,0.2,0,100,100,0,99.99293264020856,92.70185118422496,61.08870967741935,99.99293264020856,92.5831151935044,64.31451612903226,99.99960736890048,92.70185118422496,12.298387096774194,99.99293264020856,92.67794723889838,64.91935483870968,99.99921473780095,92.6172077056915,30.241935483870968,99.9446390149671,92.59252002445257,67.33870967741935,99.9493505881614,92.64346285875511,43.95161290322581,99.99175474690999,92.61485649795445,70.76612903225806,99.9984294756019,92.66070504882676,86.69354838709677,99.69767405336641,92.22181293791245,92.13709677419355,99.81585601432317,92.57214289073154
0.005,0.2,0,100,100,0.07974481658692185,99.98070364740444,92.70185118422496,58.69218500797449,99.98070364740444,92.41382823643744,61.24401913875598,99.99684957508644,92.70185118422496,11.084529505582138,99.98070364740444,92.64777340627303,61.64274322169059,99.99803098442902,92.4957286392777,22.48803827751196,99.97007096332118,92.58115585372353,63.23763955342903,99.98818590657415,92.54040158628149,43.46092503987241,99.97952223806186,92.4871075442419,69.05901116427432,99.99842478754321,92.60623540291863,84.29027113237639,99.75308544739971,92.0493910371961,90.82934609250398,99.85823087888978,92.5431446619747
0.01,0.2,0,100,100,0.12057877813504825,99.95647012267511,92.70185118422496,59.68649517684887,99.95647012267511,92.12110287317586,62.37942122186495,99.99445983379502,92.70185118422496,10.048231511254018,99.95647012267511,92.60505979905011,62.37942122186495,99.99445983379502,92.28372807498785,16.036977491961416,99.95211713494263,92.54236092606234,63.30385852090033,99.99168975069253,92.32840102199164,44.33279742765273,99.95528294420262,92.26922896060942,70.53858520900322,99.99762564305502,92.50434973431354,83.03858520900322,99.76493866244559,91.69318306503442,89.54983922829582,99.86347447566284,92.49337743154067
0.02,0.2,0,100,100,0.16035277610743637,99.89848080927581,92.70185118422496,59.39065945079174,99.89848080927581,91.5438813737323,62.317097614752456,99.97881686177801,92.70185118422496,8.117859290438965,99.89848080927581,92.5462796056241,61.5353778312287,99.97482004324557,91.82014828283461,11.725796752856283,99.89808112742257,92.47535150555669,62.55762677891361,99.98121495289749,91.87422606078655,44.13710162357186,99.89728176371608,91.84052541655564,70.57526558428543,99.99440445405457,92.30841575622678,NA,NA,NA,NA,NA,NA
0.05,0.2,0,100,100,0.49755236337372605,99.74786488524144,92.70185118422496,59.89888451970147,99.74786488524144,89.8012445726288,62.691597785089485,99.96415726309806,92.70185118422496,6.652756600593852,99.74786488524144,92.4012884618399,61.13474039001685,99.90606731018798,90.3290907095945,8.121338576358237,99.74786488524144,92.32957662586016,61.80081855388813,99.91554297626551,90.3467247676223,44.76366262739748,99.74662892879655,90.53874006614731,70.716635904020535,99.99382021777554,91.73393733247644,NA,NA,NA,NA,NA,NA
0.1,0.2,0,100,100,1.0018835410571876,99.46923795252677,92.70185118422496,59.83248507193524,99.46923795252677,86.94922958759817,62.47345008616199,99.92529372163224,92.70185118422496,6.600408768484751,99.46923795252677,92.1544116494506,61.034745321203864,99.76371967772059,87.59894665893381,8.407806676551917,99.46923795252677,91.97767920121636,61.23912956357953,99.77935587551849,87.69730551593335,44.523704564581415,99.4679349360436,88.44459770835618,70.10780266901774,99.98045475275262,90.74721381883161,59.52390494128963,99.46272287011098,86.97274166496857,80.83997916082235,99.98045475275262,90.93805351348809
0.2,0.2,0,100,100,2.0877579643358044,98.83767378871579,92.70185118422496,60.34261671007815,98.83767378871579,81.3082903584808,62.60068122620718,99.79637369810696,92.70185118422496,7.152875175315568,98.83767378871579,91.7112089910184,61.50270486876378,99.3253051958807,81.96976346850165,9.332799038268885,98.83767378871579,91.28485665470163,61.42256060909638,99.42127261567241,82.52974277787357,44.59426968543378,98.83669950018998,84.3871968901359,69.65738328992185,99.9527470064985,88.79453579321913,52.7569625325586,98.83669950018998,82.79072683668511,76.93247846123022,99.97028419996298,88.7667131683308
0.5,0.2,0,100,100,4.478976234003657,96.23444110613771,92.70185118422496,61.181404150229326,96.23444110613771,64.99012492750444,62.400173193495625,99.2511803298792,92.70185118422496,8.34696430289618,96.23444110613771,90.81148016364405,62.1259501587607,97.48528419890857,65.53286204680471,11.033067128515988,96.23444110613771,89.49872251046287,61.975207671830404,97.61558035440554,66.07128861858708,45.34943391385227,96.2336746581642,72.72716585419377,68.49161294461015,99.61064442945613,82.77270091070112,43.90936207062446,96.23444110613771,73.43135257143753,67.58635620128933,99.8267827579864,82.68805743216767
0,0.30000000000000004,100,100,100,100,100,92.70185118422496,100,100,92.70185118422496,100,100,92.70185118422496,100,99.88204774519178,92.57802091007414,100,99.87616972584917,92.70185118422496,100,99.07362415160588,91.73236986065176,100,99.0305186764268,92.70185118422496,100,99.99882439613148,92.70028371240026,100,99.9984325281753,92.70185118422496,100,99.60578083608948,92.28725488659342,100,99.75704186717243,92.59683057197047
0.001,0.30000000000000004,0,100,100,0,99.99607749304735,92.70185118422496,59.43775100401606,99.99607749304735,92.64385472671128,63.05220883534136,99.99921549860947,92.70185118422496,10.843373493975903,99.99607749304735,92.69127074940829,65.06024096385542,99.99960774930473,92.65717823722119,51.00401606425703,99.83211670242686,92.47927018511842,79.11646586345381,99.82701744338843,92.68108218254777,48.19277108433735,99.99490074096157,92.65325955765945,73.89558232931726,99.99843099721895,92.6834333902848,89.5582329317269,99.68816069726483,92.28882235841812,93.17269076305222,99.82309493643578,92.58233145759205
0.002,0.30000000000000004,0,100,100,0,99.99293261245981,92.70185118422496,59.356136820925556,99.99293261245981,92.58625013715378,61.97183098591549,99.99882210207663,92.70185118422496,11.066398390342053,99.99293261245981,92.68029844663542,62.37424547283702,99.99882210207663,92.61759957364767,29.77867203219316,99.95013565457751,92.59918177970751,66.59959758551308,99.95445461362985,92.64267912284276,48.692152917505034,99.99175471453644,92.60545166700629,71.6297786720322,99.99803683679438,92.66540746430083,86.31790744466801,99.69845813161832,92.22416414564948,90.74446680080483,99.8178184545194,92.56430553160807
0.005,0.30000000000000004,0,100,100,0.08019246190858059,99.98109797157608,92.70185118422496,58.861267040898156,99.98109797157608,92.41461197234979,61.26704089815558,99.99645586967051,92.70185118422496,10.104250200481154,99.98109797157608,92.65286768970327,61.587810745789895,99.99803103870583,92.49220182767215,22.373696872493987,99.9688904115523,92.58037211781118,64.8757016840417,99.98661106319972,92.53060488737715,47.47393744987971,99.97991659479958,92.46868975030173,70.16840417000802,99.99763724644701,92.61759957364767,85.88612670408982,99.72316404204126,92.01294731727198,91.17882919005613,99.82239969126687,92.51493016913021
0.01,0.30000000000000004,0,100,100,0.12028869286287089,99.95488614688121,92.70185118422496,58.821170809943865,99.95488614688121,92.12815649638698,61.42742582197273,99.99525117335591,92.70185118422496,8.299919807538092,99.95488614688121,92.62191012116557,61.587810745789895,99.99604264446327,92.27745818768908,16.599839615076185,99.9521159980055,92.53805037854444,62.46992782678428,99.99525117335591,92.34094079658918,47.35364875701684,99.95369894022019,92.23866326002789,70.2485966319166,99.99643838001694,92.53256422715802,85.28468323977546,99.73406570793134,91.63949715503864,90.73777064955894,99.848433282943,92.46751414643322
0.02,0.30000000000000004,0,100,100,0.15990405756546072,99.90007394528048,92.70185118422496,58.34499300419748,99.90007394528048,91.56112356380393,61.60303817709374,99.98281271858825,92.70185118422496,7.395562662402558,99.90007394528048,92.55999498409017,60.9634219468319,99.97841597218058,91.82171575465931,10.973415950429741,99.8996742410616,92.48945875197893,61.543074155506694,99.98201331015049,91.87579353261125,46.93184089546272,99.89887483262386,91.7833126949543,70.29782130721567,99.99600295781121,92.35112936344969,80.43174095542675,99.74938545476347,90.97057855385049,88.06715970417748,99.87289405839678,92.38874868724236
